buildingid,address,borough,latitude,longitude,health_score,label,open_violation_count,class_a_count,class_b_count,class_c_count,weighted_severity,avg_resolution_days,violations_last_6mo,repeat_violation_types,component_open_count,component_severity,component_resolution_speed,component_recency,component_repeat_rate
208141,1055 BERGEN STREET,Brooklyn,40.6764195,-73.9514743,24.6,Poorly managed,246,32,149,65,525,172.4,0.0,13.0,0.0,0.0,85.41038788210888,50.0,0.0
808705,765 LINCOLN AVENUE,Brooklyn,40.672602,-73.865704,38.3,Poorly managed,224,43,163,18,423,264.1,0.0,3.0,8.979591836734691,19.428571428571427,77.60203326259685,50.0,76.92307692307692
288857,760 ELDERT LANE,Brooklyn,40.672602,-73.865704,51.1,Poorly managed,155,33,94,28,305,243.8,0.0,5.0,37.142857142857146,41.9047619047619,79.3331294513418,50.0,61.53846153846154
356641,1097 PROSPECT PLACE,Brooklyn,40.6740316,-73.940012,51.4,Poorly managed,148,25,86,37,308,224.8,0.0,6.0,40.0,41.333333333333336,80.94623877824786,50.0,53.84615384615385
296847,6623 FT HAMILTON PARKWAY,Brooklyn,40.6295731,-74.010282,53.1,Poorly managed,133,16,78,39,289,421.3,0.0,3.0,46.12244897959184,44.952380952380956,64.21845334744964,50.0,76.92307692307692
226821,357 COURT STREET,Brooklyn,40.6818533,-73.9958285,53.8,Poorly managed,133,33,76,24,257,335.5,0.0,6.0,46.12244897959184,51.04761904761905,71.5238365493757,50.0,53.84615384615385
270172,243 EAST 54 STREET,Brooklyn,40.6528971,-73.9263145,57.8,Poorly managed,118,9,93,16,243,110.5,0.0,9.0,52.244897959183675,53.714285714285715,90.67820658342792,50.0,30.76923076923077
1846,1600 3 AVENUE,Manhattan,40.7813876,-73.9525244,62.6,Poorly managed,103,11,63,29,224,83.3,0.0,7.0,58.36734693877551,57.33333333333333,92.99716231555051,50.0,46.15384615384615
808252,790 ELDERT LANE,Brooklyn,40.672602,-73.865704,62.7,Poorly managed,100,36,59,5,169,296.5,0.0,6.0,59.591836734693885,67.80952380952381,74.83989485632357,50.0,53.84615384615385
326066,675 LINCOLN AVENUE,Brooklyn,40.6728795,-73.865945,64.9,Poorly managed,106,15,69,22,219,208.8,0.0,1.0,57.14285714285714,58.285714285714285,82.30731566179253,50.0,92.3076923076923
41794,219 WEST 144 STREET,Manhattan,40.821606,-73.9405293,64.9,Poorly managed,57,20,33,4,98,722.0,0.0,5.0,77.14285714285715,81.33333333333333,38.62088535754824,50.0,61.53846153846154
60500,2344 DAVIDSON AVENUE,Bronx,40.8596862,-73.9039176,64.9,Poorly managed,97,12,65,20,202,366.2,0.0,0.0,60.816326530612244,61.523809523809526,68.91212139315371,50.0,100.0
297545,1593 FULTON STREET,Brooklyn,40.6802576,-73.9364767,64.9,Poorly managed,106,11,49,46,247,129.0,0.0,1.0,57.14285714285714,52.95238095238095,89.10329171396141,50.0,92.3076923076923
4083,2518 FREDERICK DOUGLASS BOULEVARD,Manhattan,40.8159878,-73.9465134,64.9,Poorly managed,73,9,60,4,141,485.3,0.0,5.0,70.61224489795919,73.14285714285714,58.76915437003405,50.0,61.53846153846154
112498,1607 TAYLOR AVENUE,Bronx,40.8408162,-73.8677389,65.0,Poorly managed,30,2,16,12,70,1077.0,0.0,3.0,88.16326530612245,86.66666666666667,8.399545970488088,50.0,76.92307692307692
